"sampling","stage","test","conc_geom","season"
"S5","H","GN",5.91988430045254,"winter"
"S6","H","APC",6.12679846548209,"winter"
"S6","H","GN",5.62664640411971,"winter"
"S7","D0","APC",6.61993731338062,"winter"
"S7","D0","GN",6.12710909388637,"winter"
"S7","H","APC",6.82035953242935,"winter"
"S7","H","GN",6.1889888165409,"winter"
"S8","H","APC",6.81026203632766,"winter"
"S8","H","GN",6.25415163536103,"winter"
"S8","T","APC",6.88233677369646,"winter"
"S8","T","GN",6.40549873953389,"winter"
"S9","D0","APC",6.64765313502188,"winter"
"S9","D0","GN",6.25514228582001,"winter"
"S9","H","APC",6.89257107483494,"winter"
"S9","H","GN",6.45499915683855,"winter"
"S9","T","APC",6.53941512187889,"winter"
"S9","T","GN",6.1162966063075,"winter"
