"sampling","min","max"
"F1",6.27300127206374,6.88081359228079
"F2",6.29556709996248,7.09254520760561
"F3",6.28443073384452,7.61278385671974
"F4",7.25527250510331,7.45863784902565
"R1",6.09950799372796,8.23236071235357
"R2",6.27875360095283,6.47348697006457
"R3",6.44715803134222,6.64345267648619
"R4",5.89348434621849,7.10974723771323
"R5",6.21748394421391,6.26717172840301
"R6",7.72015930340596,7.78175537465247
"R7",7.94571471405986,8.5532760461371
"S1",6.03154232751795,6.72684045304696
"S2",6.31621922266203,7.170004892187
"S3",6.27805247170867,7.13830269816628
"S4",6.27937113014087,7.15814072879835
"S7",6.43488176425614,6.88985503206917
"S9",6.15892842873156,7.38982358685438
