"isolate","temp","pop","model_type","n0","lag","mumax","nmax"
"S12-0116",6,"strain","gompertz",2.42845391744045,6.11944298847423,1.02212470583315,6.67080291348493
"S12-0132",6,"strain","gompertz",2.73327360546155,2.11787881235376,0.854386277501274,8.2008188826985
"S12-0141",6,"strain","gompertz",3.03887423530481,4.13600915664956,1.15687590506944,7.73263422798722
"S12-0166",6,"strain","gompertz",3.10314963316,0,0.732811212272288,8.74115998336546
"S12-0180",6,"strain","gompertz",2.22480605307278,14.6533416849978,0.789920584113199,7.70035273109502
"S12-0184",6,"strain","gompertz",2.40413103157521,2.16146449294484,0.457955653902862,7.00880745369922
"S12-0116",10,"strain","gompertz",1.65627569675571,1.95722434315481,1.30940866110386,8.45662206633844
"S12-0132",10,"strain","gompertz",2.02907955680693,5.58081689336846,4.10421555179416,7.81327253095
"S12-0141",10,"strain","gompertz",3.22197923581963,0,0.950403347273273,8.18315698795001
"S12-0166",10,"strain","gompertz",1.47354371337967,0.640232351575765,2.40237416733695,8.12631044064604
"S12-0180",10,"strain","gompertz",1.90005626417515,6.40956583855308,2.69432129995275,5.46108164691209
"S12-0184",10,"strain","gompertz",1.69506655851807,6.10515349481478,1.62971114479123,7.3693469740213
