"package","initial_count","storage_temp","day","count","growth_model","loc","sampling_code"
1,3.77245170465632,6,1,4.06562260709511,"mm-apc","us",1
1,3.77245170465632,6,2,4.35879350953391,"mm-apc","us",1
1,3.77245170465632,6,3,4.6519644119727,"mm-apc","us",1
1,3.77245170465632,6,4,4.94513531441149,"mm-apc","us",1
1,3.77245170465632,6,5,5.23830621685028,"mm-apc","us",1
1,3.77245170465632,6,6,5.53147711928907,"mm-apc","us",1
1,3.77245170465632,6,7,5.82464802172787,"mm-apc","us",1
1,3.77245170465632,6,8,6.11781892416666,"mm-apc","us",1
1,3.77245170465632,6,9,6.41098982660545,"mm-apc","us",1
1,3.77245170465632,6,10,6.70416072904424,"mm-apc","us",1
1,3.77245170465632,6,11,6.99733163148304,"mm-apc","us",1
1,3.77245170465632,6,12,7.29050253392183,"mm-apc","us",1
1,3.77245170465632,6,13,7.58367343636062,"mm-apc","us",1
1,3.77245170465632,6,14,7.87684433879941,"mm-apc","us",1
1,3.77245170465632,6,15,8.1700152412382,"mm-apc","us",1
1,3.77245170465632,6,16,8.463186143677,"mm-apc","us",1
1,3.77245170465632,6,17,8.75635704611579,"mm-apc","us",1
1,3.77245170465632,6,18,9.04952794855458,"mm-apc","us",1
1,3.77245170465632,6,19,9.34269885099337,"mm-apc","us",1
1,3.77245170465632,6,20,9.59206315398229,"mm-apc","us",1
1,3.77245170465632,6,21,9.59206315398229,"mm-apc","us",1
1,3.77245170465632,6,22,9.59206315398229,"mm-apc","us",1
1,3.77245170465632,6,23,9.59206315398229,"mm-apc","us",1
1,3.77245170465632,6,24,9.59206315398229,"mm-apc","us",1
1,3.77245170465632,6,25,9.59206315398229,"mm-apc","us",1
1,3.77245170465632,6,26,9.59206315398229,"mm-apc","us",1
1,3.77245170465632,6,27,9.59206315398229,"mm-apc","us",1
1,3.77245170465632,6,28,9.59206315398229,"mm-apc","us",1
1,3.77245170465632,6,29,9.59206315398229,"mm-apc","us",1
1,3.77245170465632,6,30,9.59206315398229,"mm-apc","us",1
2,3.80548152285107,6,1,4.09865242528986,"mm-apc","us",1
2,3.80548152285107,6,2,4.39182332772865,"mm-apc","us",1
2,3.80548152285107,6,3,4.68499423016744,"mm-apc","us",1
2,3.80548152285107,6,4,4.97816513260623,"mm-apc","us",1
2,3.80548152285107,6,5,5.27133603504503,"mm-apc","us",1
2,3.80548152285107,6,6,5.56450693748382,"mm-apc","us",1
2,3.80548152285107,6,7,5.85767783992261,"mm-apc","us",1
2,3.80548152285107,6,8,6.1508487423614,"mm-apc","us",1
2,3.80548152285107,6,9,6.44401964480019,"mm-apc","us",1
2,3.80548152285107,6,10,6.73719054723899,"mm-apc","us",1
2,3.80548152285107,6,11,7.03036144967778,"mm-apc","us",1
2,3.80548152285107,6,12,7.32353235211657,"mm-apc","us",1
2,3.80548152285107,6,13,7.61670325455536,"mm-apc","us",1
2,3.80548152285107,6,14,7.90987415699415,"mm-apc","us",1
2,3.80548152285107,6,15,8.20304505943295,"mm-apc","us",1
2,3.80548152285107,6,16,8.49621596187174,"mm-apc","us",1
2,3.80548152285107,6,17,8.78938686431053,"mm-apc","us",1
2,3.80548152285107,6,18,9.08255776674932,"mm-apc","us",1
2,3.80548152285107,6,19,9.37572866918812,"mm-apc","us",1
2,3.80548152285107,6,20,9.59206315398229,"mm-apc","us",1
2,3.80548152285107,6,21,9.59206315398229,"mm-apc","us",1
2,3.80548152285107,6,22,9.59206315398229,"mm-apc","us",1
2,3.80548152285107,6,23,9.59206315398229,"mm-apc","us",1
2,3.80548152285107,6,24,9.59206315398229,"mm-apc","us",1
2,3.80548152285107,6,25,9.59206315398229,"mm-apc","us",1
2,3.80548152285107,6,26,9.59206315398229,"mm-apc","us",1
2,3.80548152285107,6,27,9.59206315398229,"mm-apc","us",1
2,3.80548152285107,6,28,9.59206315398229,"mm-apc","us",1
2,3.80548152285107,6,29,9.59206315398229,"mm-apc","us",1
2,3.80548152285107,6,30,9.59206315398229,"mm-apc","us",1
3,3.86766829756378,6,1,4.16083920000257,"mm-apc","us",1
3,3.86766829756378,6,2,4.45401010244136,"mm-apc","us",1
3,3.86766829756378,6,3,4.74718100488016,"mm-apc","us",1
3,3.86766829756378,6,4,5.04035190731895,"mm-apc","us",1
3,3.86766829756378,6,5,5.33352280975774,"mm-apc","us",1
3,3.86766829756378,6,6,5.62669371219653,"mm-apc","us",1
3,3.86766829756378,6,7,5.91986461463532,"mm-apc","us",1
3,3.86766829756378,6,8,6.21303551707412,"mm-apc","us",1
3,3.86766829756378,6,9,6.50620641951291,"mm-apc","us",1
3,3.86766829756378,6,10,6.7993773219517,"mm-apc","us",1
3,3.86766829756378,6,11,7.09254822439049,"mm-apc","us",1
3,3.86766829756378,6,12,7.38571912682928,"mm-apc","us",1
3,3.86766829756378,6,13,7.67889002926808,"mm-apc","us",1
3,3.86766829756378,6,14,7.97206093170687,"mm-apc","us",1
3,3.86766829756378,6,15,8.26523183414566,"mm-apc","us",1
3,3.86766829756378,6,16,8.55840273658445,"mm-apc","us",1
3,3.86766829756378,6,17,8.85157363902325,"mm-apc","us",1
3,3.86766829756378,6,18,9.14474454146204,"mm-apc","us",1
3,3.86766829756378,6,19,9.43791544390083,"mm-apc","us",1
3,3.86766829756378,6,20,9.59206315398229,"mm-apc","us",1
3,3.86766829756378,6,21,9.59206315398229,"mm-apc","us",1
3,3.86766829756378,6,22,9.59206315398229,"mm-apc","us",1
3,3.86766829756378,6,23,9.59206315398229,"mm-apc","us",1
3,3.86766829756378,6,24,9.59206315398229,"mm-apc","us",1
3,3.86766829756378,6,25,9.59206315398229,"mm-apc","us",1
3,3.86766829756378,6,26,9.59206315398229,"mm-apc","us",1
3,3.86766829756378,6,27,9.59206315398229,"mm-apc","us",1
3,3.86766829756378,6,28,9.59206315398229,"mm-apc","us",1
3,3.86766829756378,6,29,9.59206315398229,"mm-apc","us",1
3,3.86766829756378,6,30,9.59206315398229,"mm-apc","us",1
4,3.97156241351754,6,1,4.26473331595633,"mm-apc","us",1
4,3.97156241351754,6,2,4.55790421839512,"mm-apc","us",1
4,3.97156241351754,6,3,4.85107512083391,"mm-apc","us",1
4,3.97156241351754,6,4,5.1442460232727,"mm-apc","us",1
4,3.97156241351754,6,5,5.4374169257115,"mm-apc","us",1
4,3.97156241351754,6,6,5.73058782815029,"mm-apc","us",1
4,3.97156241351754,6,7,6.02375873058908,"mm-apc","us",1
4,3.97156241351754,6,8,6.31692963302787,"mm-apc","us",1
4,3.97156241351754,6,9,6.61010053546666,"mm-apc","us",1
4,3.97156241351754,6,10,6.90327143790546,"mm-apc","us",1
4,3.97156241351754,6,11,7.19644234034425,"mm-apc","us",1
4,3.97156241351754,6,12,7.48961324278304,"mm-apc","us",1
4,3.97156241351754,6,13,7.78278414522183,"mm-apc","us",1
4,3.97156241351754,6,14,8.07595504766062,"mm-apc","us",1
4,3.97156241351754,6,15,8.36912595009942,"mm-apc","us",1
4,3.97156241351754,6,16,8.66229685253821,"mm-apc","us",1
4,3.97156241351754,6,17,8.955467754977,"mm-apc","us",1
4,3.97156241351754,6,18,9.24863865741579,"mm-apc","us",1
4,3.97156241351754,6,19,9.54180955985458,"mm-apc","us",1
4,3.97156241351754,6,20,9.59206315398229,"mm-apc","us",1
4,3.97156241351754,6,21,9.59206315398229,"mm-apc","us",1
4,3.97156241351754,6,22,9.59206315398229,"mm-apc","us",1
4,3.97156241351754,6,23,9.59206315398229,"mm-apc","us",1
4,3.97156241351754,6,24,9.59206315398229,"mm-apc","us",1
4,3.97156241351754,6,25,9.59206315398229,"mm-apc","us",1
4,3.97156241351754,6,26,9.59206315398229,"mm-apc","us",1
4,3.97156241351754,6,27,9.59206315398229,"mm-apc","us",1
4,3.97156241351754,6,28,9.59206315398229,"mm-apc","us",1
4,3.97156241351754,6,29,9.59206315398229,"mm-apc","us",1
4,3.97156241351754,6,30,9.59206315398229,"mm-apc","us",1
5,3.75267793285133,6,1,4.04584883529013,"mm-apc","us",1
5,3.75267793285133,6,2,4.33901973772892,"mm-apc","us",1
5,3.75267793285133,6,3,4.63219064016771,"mm-apc","us",1
5,3.75267793285133,6,4,4.9253615426065,"mm-apc","us",1
5,3.75267793285133,6,5,5.21853244504529,"mm-apc","us",1
5,3.75267793285133,6,6,5.51170334748409,"mm-apc","us",1
5,3.75267793285133,6,7,5.80487424992288,"mm-apc","us",1
5,3.75267793285133,6,8,6.09804515236167,"mm-apc","us",1
5,3.75267793285133,6,9,6.39121605480046,"mm-apc","us",1
5,3.75267793285133,6,10,6.68438695723925,"mm-apc","us",1
5,3.75267793285133,6,11,6.97755785967805,"mm-apc","us",1
5,3.75267793285133,6,12,7.27072876211684,"mm-apc","us",1
5,3.75267793285133,6,13,7.56389966455563,"mm-apc","us",1
5,3.75267793285133,6,14,7.85707056699442,"mm-apc","us",1
5,3.75267793285133,6,15,8.15024146943322,"mm-apc","us",1
5,3.75267793285133,6,16,8.44341237187201,"mm-apc","us",1
5,3.75267793285133,6,17,8.7365832743108,"mm-apc","us",1
5,3.75267793285133,6,18,9.02975417674959,"mm-apc","us",1
5,3.75267793285133,6,19,9.32292507918838,"mm-apc","us",1
5,3.75267793285133,6,20,9.59206315398229,"mm-apc","us",1
5,3.75267793285133,6,21,9.59206315398229,"mm-apc","us",1
5,3.75267793285133,6,22,9.59206315398229,"mm-apc","us",1
5,3.75267793285133,6,23,9.59206315398229,"mm-apc","us",1
5,3.75267793285133,6,24,9.59206315398229,"mm-apc","us",1
5,3.75267793285133,6,25,9.59206315398229,"mm-apc","us",1
5,3.75267793285133,6,26,9.59206315398229,"mm-apc","us",1
5,3.75267793285133,6,27,9.59206315398229,"mm-apc","us",1
5,3.75267793285133,6,28,9.59206315398229,"mm-apc","us",1
5,3.75267793285133,6,29,9.59206315398229,"mm-apc","us",1
5,3.75267793285133,6,30,9.59206315398229,"mm-apc","us",1
6,3.96852072609345,6,1,4.26169162853225,"mm-apc","us",1
6,3.96852072609345,6,2,4.55486253097104,"mm-apc","us",1
6,3.96852072609345,6,3,4.84803343340983,"mm-apc","us",1
6,3.96852072609345,6,4,5.14120433584862,"mm-apc","us",1
6,3.96852072609345,6,5,5.43437523828741,"mm-apc","us",1
6,3.96852072609345,6,6,5.72754614072621,"mm-apc","us",1
6,3.96852072609345,6,7,6.020717043165,"mm-apc","us",1
6,3.96852072609345,6,8,6.31388794560379,"mm-apc","us",1
6,3.96852072609345,6,9,6.60705884804258,"mm-apc","us",1
6,3.96852072609345,6,10,6.90022975048138,"mm-apc","us",1
6,3.96852072609345,6,11,7.19340065292017,"mm-apc","us",1
6,3.96852072609345,6,12,7.48657155535896,"mm-apc","us",1
6,3.96852072609345,6,13,7.77974245779775,"mm-apc","us",1
6,3.96852072609345,6,14,8.07291336023654,"mm-apc","us",1
6,3.96852072609345,6,15,8.36608426267534,"mm-apc","us",1
6,3.96852072609345,6,16,8.65925516511413,"mm-apc","us",1
6,3.96852072609345,6,17,8.95242606755292,"mm-apc","us",1
6,3.96852072609345,6,18,9.24559696999171,"mm-apc","us",1
6,3.96852072609345,6,19,9.5387678724305,"mm-apc","us",1
6,3.96852072609345,6,20,9.59206315398229,"mm-apc","us",1
6,3.96852072609345,6,21,9.59206315398229,"mm-apc","us",1
6,3.96852072609345,6,22,9.59206315398229,"mm-apc","us",1
6,3.96852072609345,6,23,9.59206315398229,"mm-apc","us",1
6,3.96852072609345,6,24,9.59206315398229,"mm-apc","us",1
6,3.96852072609345,6,25,9.59206315398229,"mm-apc","us",1
