"package","initial_count","storage_temp","day","count","growth_model","loc","sampling_code"
1,8.10702751111652,4,1,6.43125267738231,"gp-apc","china","R7"
1,8.10702751111652,4,2,7.42862902177886,"gp-apc","china","R7"
1,8.10702751111652,4,3,8.28316589995162,"gp-apc","china","R7"
1,8.10702751111652,4,4,8.99486331190058,"gp-apc","china","R7"
1,8.10702751111652,4,5,9.56372125762574,"gp-apc","china","R7"
1,8.10702751111652,4,6,9.98973973712712,"gp-apc","china","R7"
1,8.10702751111652,4,7,10.2729187504047,"gp-apc","china","R7"
1,8.10702751111652,4,8,10.4132582974585,"gp-apc","china","R7"
1,8.10702751111652,4,9,10.4107583782885,"gp-apc","china","R7"
1,8.10702751111652,4,10,10.2654189928946,"gp-apc","china","R7"
2,8.17180280622097,4,1,6.41268501440923,"gp-apc","china","R7"
2,8.17180280622097,4,2,7.44947084278325,"gp-apc","china","R7"
2,8.17180280622097,4,3,8.33740777845846,"gp-apc","china","R7"
2,8.17180280622097,4,4,9.07649582143486,"gp-apc","china","R7"
2,8.17180280622097,4,5,9.66673497171244,"gp-apc","china","R7"
2,8.17180280622097,4,6,10.1081252292912,"gp-apc","china","R7"
2,8.17180280622097,4,7,10.4006665941711,"gp-apc","china","R7"
2,8.17180280622097,4,8,10.5443590663523,"gp-apc","china","R7"
2,8.17180280622097,4,9,10.5392026458346,"gp-apc","china","R7"
2,8.17180280622097,4,10,10.3851973326181,"gp-apc","china","R7"
3,8.29375826658286,4,1,6.37772681187112,"gp-apc","china","R7"
3,8.29375826658286,4,2,7.4887107084029,"gp-apc","china","R7"
3,8.29375826658286,4,3,8.43953148555283,"gp-apc","china","R7"
3,8.29375826658286,4,4,9.2301891433209,"gp-apc","china","R7"
3,8.29375826658286,4,5,9.86068368170712,"gp-apc","china","R7"
3,8.29375826658286,4,6,10.3310151007115,"gp-apc","china","R7"
3,8.29375826658286,4,7,10.641183400334,"gp-apc","china","R7"
3,8.29375826658286,4,8,10.7911885805747,"gp-apc","china","R7"
3,8.29375826658286,4,9,10.7810306414335,"gp-apc","china","R7"
3,8.29375826658286,4,10,10.6107095829104,"gp-apc","china","R7"
4,8.49750664875201,4,1,6.31932288973804,"gp-apc","china","R7"
4,8.49750664875201,4,2,7.55426791357282,"gp-apc","china","R7"
4,8.49750664875201,4,3,8.61014738122364,"gp-apc","china","R7"
4,8.49750664875201,4,4,9.48696129269049,"gp-apc","china","R7"
4,8.49750664875201,4,5,10.1847096479734,"gp-apc","china","R7"
4,8.49750664875201,4,6,10.7033924470723,"gp-apc","china","R7"
4,8.49750664875201,4,7,11.0430096899873,"gp-apc","china","R7"
4,8.49750664875201,4,8,11.2035613767182,"gp-apc","china","R7"
4,8.49750664875201,4,9,11.1850475072653,"gp-apc","china","R7"
4,8.49750664875201,4,10,10.9874680816283,"gp-apc","china","R7"
5,8.06824885673689,4,1,6.44236847367331,"gp-apc","china","R7"
5,8.06824885673689,4,2,7.41615176834345,"gp-apc","china","R7"
5,8.06824885673689,4,3,8.2506932256685,"gp-apc","china","R7"
5,8.06824885673689,4,4,8.94599284564847,"gp-apc","china","R7"
5,8.06824885673689,4,5,9.50205062828334,"gp-apc","china","R7"
5,8.06824885673689,4,6,9.91886657357314,"gp-apc","china","R7"
5,8.06824885673689,4,7,10.1964406815178,"gp-apc","china","R7"
5,8.06824885673689,4,8,10.3347729521175,"gp-apc","china","R7"
5,8.06824885673689,4,9,10.333863385372,"gp-apc","china","R7"
5,8.06824885673689,4,10,10.1937119812815,"gp-apc","china","R7"
6,8.49154154778329,4,1,6.32103276978118,"gp-apc","china","R7"
6,8.49154154778329,4,2,7.55234860828115,"gp-apc","china","R7"
6,8.49154154778329,4,3,8.60515229348988,"gp-apc","china","R7"
6,8.49154154778329,4,4,9.47944382540737,"gp-apc","china","R7"
6,8.49154154778329,4,5,10.1752232040336,"gp-apc","china","R7"
6,8.49154154778329,4,6,10.6924904293686,"gp-apc","china","R7"
6,8.49154154778329,4,7,11.0312455014123,"gp-apc","china","R7"
6,8.49154154778329,4,8,11.1914884201648,"gp-apc","china","R7"
6,8.49154154778329,4,9,11.1732191856261,"gp-apc","china","R7"
6,8.49154154778329,4,10,10.9764377977961,"gp-apc","china","R7"
7,8.51966287863415,4,1,6.31297186642672,"gp-apc","china","R7"
7,8.51966287863415,4,2,7.56139680702813,"gp-apc","china","R7"
7,8.51966287863415,4,3,8.62870068194576,"gp-apc","china","R7"
7,8.51966287863415,4,4,9.51488349117961,"gp-apc","china","R7"
7,8.51966287863415,4,5,10.2199452347297,"gp-apc","china","R7"
7,8.51966287863415,4,6,10.743885912596,"gp-apc","china","R7"
7,8.51966287863415,4,7,11.0867055247785,"gp-apc","china","R7"
7,8.51966287863415,4,8,11.2484040712772,"gp-apc","china","R7"
7,8.51966287863415,4,9,11.2289815520922,"gp-apc","china","R7"
7,8.51966287863415,4,10,11.0284379672233,"gp-apc","china","R7"
8,8.34718990109687,4,1,6.36241077849517,"gp-apc","china","R7"
8,8.34718990109687,4,2,7.50590264185094,"gp-apc","china","R7"
8,8.34718990109687,4,3,8.48427434968116,"gp-apc","china","R7"
8,8.34718990109687,4,4,9.29752590198582,"gp-apc","china","R7"
8,8.34718990109687,4,5,9.94565729876491,"gp-apc","china","R7"
8,8.34718990109687,4,6,10.4286685400185,"gp-apc","china","R7"
8,8.34718990109687,4,7,10.7465596257464,"gp-apc","china","R7"
8,8.34718990109687,4,8,10.8993305559488,"gp-apc","china","R7"
8,8.34718990109687,4,9,10.8869813306257,"gp-apc","china","R7"
8,8.34718990109687,4,10,10.709511949777,"gp-apc","china","R7"
9,8.32794008059956,4,1,6.36792868742495,"gp-apc","china","R7"
9,8.32794008059956,4,2,7.499708902208,"gp-apc","china","R7"
9,8.32794008059956,4,3,8.46815483339011,"gp-apc","china","R7"
9,8.32794008059956,4,4,9.27326648097128,"gp-apc","china","R7"
9,8.32794008059956,4,5,9.9150438449515,"gp-apc","china","R7"
9,8.32794008059956,4,6,10.3934869253308,"gp-apc","china","R7"
9,8.32794008059956,4,7,10.7085957221091,"gp-apc","china","R7"
9,8.32794008059956,4,8,10.8603702352865,"gp-apc","china","R7"
9,8.32794008059956,4,9,10.848810464863,"gp-apc","china","R7"
9,8.32794008059956,4,10,10.6739164108385,"gp-apc","china","R7"
10,7.98325366284922,4,1,6.46673211589051,"gp-apc","china","R7"
10,7.98325366284922,4,2,7.38880407946941,"gp-apc","china","R7"
10,7.98325366284922,4,3,8.17951950159534,"gp-apc","china","R7"
10,7.98325366284922,4,4,8.83887838226832,"gp-apc","china","R7"
10,7.98325366284922,4,5,9.36688072148833,"gp-apc","china","R7"
10,7.98325366284922,4,6,9.76352651925537,"gp-apc","china","R7"
10,7.98325366284922,4,7,10.0288157755695,"gp-apc","china","R7"
10,7.98325366284922,4,8,10.1627484904306,"gp-apc","china","R7"
10,7.98325366284922,4,9,10.1653246638387,"gp-apc","china","R7"
10,7.98325366284922,4,10,10.0365442957939,"gp-apc","china","R7"
11,8.07085690115972,4,1,6.44162088480037,"gp-apc","china","R7"
11,8.07085690115972,4,2,7.41699092152592,"gp-apc","china","R7"
11,8.07085690115972,4,3,8.25287716367289,"gp-apc","china","R7"
11,8.07085690115972,4,4,8.94927961124127,"gp-apc","china","R7"
11,8.07085690115972,4,5,9.50619826423106,"gp-apc","china","R7"
11,8.07085690115972,4,6,9.92363312264228,"gp-apc","china","R7"
11,8.07085690115972,4,7,10.2015841864749,"gp-apc","china","R7"
11,8.07085690115972,4,8,10.3400514557289,"gp-apc","china","R7"
11,8.07085690115972,4,9,10.3390349304044,"gp-apc","china","R7"
11,8.07085690115972,4,10,10.1985346105013,"gp-apc","china","R7"
12,8.05298376981361,4,1,6.44674416951212,"gp-apc","china","R7"
12,8.05298376981361,4,2,7.41124013947694,"gp-apc","china","R7"
12,8.05298376981361,4,3,8.2379104666096,"gp-apc","china","R7"
12,8.05298376981361,4,4,8.92675515091011,"gp-apc","china","R7"
12,8.05298376981361,4,5,9.47777419237845,"gp-apc","china","R7"
12,8.05298376981361,4,6,9.89096759101464,"gp-apc","china","R7"
12,8.05298376981361,4,7,10.1663353468187,"gp-apc","china","R7"
12,8.05298376981361,4,8,10.3038774597906,"gp-apc","china","R7"
12,8.05298376981361,4,9,10.3035939299303,"gp-apc","china","R7"
12,8.05298376981361,4,10,10.1654847572378,"gp-apc","china","R7"
13,8.36312322994276,4,1,6.35784353291839,"gp-apc","china","R7"
13,8.36312322994276,4,2,7.51102928137107,"gp-apc","china","R7"
13,8.36312322994276,4,3,8.49761668468828,"gp-apc","china","R7"
13,8.36312322994276,4,4,9.31760574287003,"gp-apc","china","R7"
13,8.36312322994276,4,5,9.97099645591632,"gp-apc","china","R7"
13,8.36312322994276,4,6,10.4577888238271,"gp-apc","china","R7"
13,8.36312322994276,4,7,10.7779828466025,"gp-apc","china","R7"
13,8.36312322994276,4,8,10.9315785242424,"gp-apc","china","R7"
13,8.36312322994276,4,9,10.9185758567468,"gp-apc","china","R7"
13,8.36312322994276,4,10,10.7389748441158,"gp-apc","china","R7"
14,8.17908128075362,4,1,6.41059865938973,"gp-apc","china","R7"
14,8.17908128075362,4,2,7.45181273351722,"gp-apc","china","R7"
14,8.17908128075362,4,3,8.34350266587933,"gp-apc","china","R7"
14,8.17908128075362,4,4,9.0856684564761,"gp-apc","china","R7"
14,8.17908128075362,4,5,9.67831010530751,"gp-apc","china","R7"
14,8.17908128075362,4,6,10.1214276123735,"gp-apc","china","R7"
14,8.17908128075362,4,7,10.4150209776742,"gp-apc","china","R7"
14,8.17908128075362,4,8,10.5590902012096,"gp-apc","china","R7"
14,8.17908128075362,4,9,10.5536352829795,"gp-apc","china","R7"
14,8.17908128075362,4,10,10.3986562229842,"gp-apc","china","R7"
15,8.41344059268242,4,1,6.34342019711517,"gp-apc","china","R7"
15,8.41344059268242,4,2,7.52721918009623,"gp-apc","china","R7"
15,8.41344059268242,4,3,8.53975170348069,"gp-apc","china","R7"
