"lot","min","max"
1,3.69019608002851,4
2,5.01842777637313,5.06556431063121
3,2.47712125471966,3.34242268082221
4,2.34242268082221,3.52244423350632
5,4.27646180417324,6.2805669893363
6,4.24551266781415,5.45200122772659
7,3.32014628611105,3.66275783168157
8,5.63481973399518,6.28971378311702
