"pop","b_mu","temp_min_mu","val_data_lot"
"apc",0.0236405757180335,-27.8160623343062,"1"
"apc",0.025460529722103,-25.1129177094827,"2"
"apc",0.0182196089594157,-39.0676549076008,"3"
"apc",0.0164701459702673,-44.2796333794442,"4"
"apc",0.0105042355514946,-75.107905338703,"5"
"apc",0.0142728675686972,-52.6358705193003,"6"
"apc",0.0163397274029716,-44.2832649763756,"7"
"apc",0.0198495937603654,-35.3920230592286,"8"
"apc",0.0180946605816686,-39.4064799357294,"overall"
