location,sampleID,sampling,stage,sample_rep,weight_before_dilution,weight_after_dilution
E,F1D10S1,F1,D10,1,25.21,120.38
E,F1D10S2,F1,D10,2,25.07,122.17
E,F1D10S3,F1,D10,3,25.06,121.42
E,R2D3S1,R2,D3,1,25.31,
E,R2D3S2,R2,D3,2,24.94,
E,R2D3S3,R2,D3,3,25.07,
E,R2D10S1,R2,D10,1,26.27,127.46
E,R2D10S2,R2,D10,2,27.76,121.77
E,R2D10S3,R2,D10,3,25.35,123.86
E,R3D3S1,R3,D3,1,25.12,122.85
E,R3D3S2,R3,D3,2,25.04,119.93
E,R3D3S3,R3,D3,3,25.37,120.13
E,R3D10S1,R3,D10,1,25.02,121.91
E,R3D10S2,R3,D10,2,25.05,121.75
E,R3D10S3,R3,D10,3,25.2,120.5
E,F2D3S1,F2,D3,1,25.19,120.23
E,F2D3S2,F2,D3,2,25.31,122.27
E,F2D3S3,F2,D3,3,25.24,120.98
E,F2D5S1,F2,D5,1,25.36,122.58
E,F2D5S2,F2,D5,2,25.07,121.17
E,F2D5S3,F2,D5,3,25.19,121.97
E,F2D7S1,F2,D7,1,25.48,121.53
E,F2D7S2,F2,D7,2,25.2,123
E,F2D7S3,F2,D7,3,25.02,121.12
E,F2D10S1,F2,D10,1,25.52,123.02
E,F2D10S2,F2,D10,2,25.05,120.4
E,F2D10S3,F2,D10,3,25.39,120.22
E,R4D3S1,R4,D3,1,25.42,121.49
E,R4D3S2,R4,D3,2,25.12,121.04
E,R4D3S3,R4,D3,3,25.04,119.57
E,R4D10S1,R4,D10,1,25.12,121.5
E,R4D10S2,R4,D10,2,25.17,121.4
E,R4D10S3,R4,D10,3,25.01,122.35
E,R5D3S1,R5,D3,1,24.96,121.38
E,R5D3S2,R5,D3,2,25.1,122.54
E,R5D3S3,R5,D3,3,25.02,119.73
E,R5D10S1,R5,D10,1,25.02,121.49
E,R5D10S2,R5,D10,2,25.03,120.08
E,R5D10S3,R5,D10,3,25.04,121.35
E,F4D3S1,F4,D3,1,24.97,120.38
E,F4D3S2,F4,D3,2,25.16,118.96
E,F4D3S3,F4,D3,3,25.6,121.31
E,F4D5S1,F4,D5,1,25.65,120.93
E,F4D5S2,F4,D5,2,25.31,121.56
E,F4D5S3,F4,D5,3,25.41,122.09
E,F4D7S1,F4,D7,1,26.01,123.24
E,F4D7S2,F4,D7,2,25.23,121.82
E,F4D7S3,F4,D7,3,25.07,121.86
E,F4D10S1,F4,D10,1,25.6,121.18
E,F4D10S2,F4,D10,2,25.73,120.99
E,F4D10S3,F4,D10,3,25.98,122.62
E,R6D7S1,R6,D7,1,25.1,123.57
E,R6D7S2,R6,D7,2,24.87,122.52
E,R6D7S3,R6,D7,3,24.94,121.3
E,R6D10S1,R6,D10,1,25.35,123.8
E,R6D10S2,R6,D10,2,25.1,121.53
E,R6D10S3,R6,D10,3,25.46,123.6
E,R7D3S1,R7,D3,1,25.46,123.41
E,R7D3S2,R7,D3,2,25.08,122.06
E,R7D3S3,R7,D3,3,25.01,122.15
L,F1H-1,F1,H,1,25.0 ,125.0 
L,F1H-2,F1,H,2,25.0 ,125.0 
L,F1H-3,F1,H,3,25.0 ,125.0 
L,F1T-1,F1,T,1,25.0 ,125.0 
L,F1T-2,F1,T,2,25.0 ,125.0 
L,F1T-3,F1,T,3,25.0 ,125.0 
L,F1P-1,F1,P,1,25.0 ,125.0 
L,F1P-2,F1,P,2,25.0 ,125.0 
L,F1P-3,F1,P,3,25.0 ,125.0 
L,F1SL3-1,F1,D3,1,25.1 ,125.1 
L,F1SL3-2,F1,D3,2,25.0 ,125.0 
L,F1SL3-3,F1,D3,3,25.0 ,125.0 
L,F1SL5-1,F1,D5,1,25.0 ,125.0 
L,F1SL5-2,F1,D5,2,25.0 ,125.0 
L,F1SL5-3,F1,D5,3,25.0 ,125.0 
L,F1SL7-1,F1,D7,1,25.0 ,125.0 
L,F1SL7-2,F1,D7,2,25.0 ,125.0 
L,F1SL7-3,F1,D7,3,25.0 ,125.0 
L,F1SL10-1,F1,D10,1,25.0 ,125.0 
L,F1SL10-2,F1,D10,2,25.2 ,125.2 
L,F1SL10-3,F1,D10,3,25.0 ,125.0 
L,F2H-1,F2,H,1,25.0 ,125.0 
L,F2H-2,F2,H,2,25.0 ,125.0 
L,F2H-3,F2,H,3,25.0 ,125.0 
L,F2T-1,F2,T,1,25.0 ,125.0 
L,F2T-2,F2,T,2,25.0 ,125.0 
L,F2T-3,F2,T,3,25.0 ,125.0 
L,F2P-1,F2,P,1,25.0 ,125.0 
L,F2P-2,F2,P,2,25.0 ,125.0 
L,F2P-3,F2,P,3,25.0 ,125.0 
L,F2SL3-1,F2,D3,1,25.1 ,125.1 
L,F2SL3-2,F2,D3,2,25.0 ,125.0 
L,F2SL3-3,F2,D3,3,25.0 ,125.0 
L,F2SL5-1,F2,D5,1,25.0 ,125.0 
L,F2SL5-2,F2,D5,2,25.0 ,125.0 
L,F2SL5-3,F2,D5,3,25.0 ,125.0 
L,F2SL7-1,F2,D7,1,25.0 ,125.0 
L,F2SL7-2,F2,D7,2,25.0 ,125.0 
L,F2SL7-3,F2,D7,3,25.0 ,125.0 
L,F2SL10-1,F2,D10,1,25.0 ,125.0 
L,F2SL10-2,F2,D10,2,25.0 ,125.0 
L,F2SL10-3,F2,D10,3,25.0 ,125.0 
L,F3H-1,F3,H,1,25.0 ,125.0 
L,F3H-2,F3,H,2,25.0 ,125.0 
L,F3H-3,F3,H,3,25.0 ,125.0 
L,F3T-1,F3,T,1,25.0 ,125.0 
L,F3T-2,F3,T,2,25.0 ,125.0 
L,F3T-3,F3,T,3,25.0 ,125.0 
L,F3P-1,F3,P,1,25.0 ,125.0 
L,F3P-2,F3,P,2,25.0 ,125.0 
L,F3P-3,F3,P,3,25.0 ,125.0 
L,F3SL3-1,F3,D3,1,25.0 ,125.0 
L,F3SL3-2,F3,D3,2,25.0 ,125.0 
L,F3SL3-3,F3,D3,3,25.0 ,125.0 
L,F3SL5-1,F3,D5,1,25.0 ,125.0 
L,F3SL5-2,F3,D5,2,25.0 ,125.0 
L,F3SL5-3,F3,D5,3,25.0 ,125.0 
L,F3SL7-1,F3,D7,1,25.0 ,125.0 
L,F3SL7-2,F3,D7,2,25.0 ,125.0 
L,F3SL7-3,F3,D7,3,25.0 ,125.0 
L,F3SL10-1,F3,D10,1,25.0 ,125.0 
L,F3SL10-2,F3,D10,2,25.0 ,125.0 
L,F3SL10-3,F3,D10,3,25.0 ,125.0 
L,F4H-1,F4,H,1,25.0 ,125.0 
L,F4H-2,F4,H,2,25.0 ,125.0 
L,F4H-3,F4,H,3,25.0 ,125.0 
L,F4T-1,F4,T,1,25.0 ,125.0 
L,F4T-2,F4,T,2,25.0 ,125.0 
L,F4T-3,F4,T,3,25.0 ,125.0 
L,F4P-1,F4,P,1,25.0 ,125.0 
L,F4P-2,F4,P,2,25.0 ,125.0 
L,F4P-3,F4,P,3,25.0 ,125.0 
L,F4SL3-1,F4,D3,1,25.0 ,125.0 
L,F4SL3-2,F4,D3,2,25.0 ,125.0 
L,F4SL3-3,F4,D3,3,25.0 ,125.0 
L,F4SL5-1,F4,D5,1,25.0 ,125.0 
L,F4SL5-2,F4,D5,2,25.0 ,125.0 
L,F4SL5-3,F4,D5,3,25.0 ,125.0 
L,F4SL7-1,F4,D7,1,25.0 ,125.0 
L,F4SL7-2,F4,D7,2,25.0 ,125.0 
L,F4SL7-3,F4,D7,3,25.0 ,125.0 
L,F4SL10-1,F4,D10,1,25.0 ,125.0 
L,F4SL10-2,F4,D10,2,25.0 ,125.0 
L,F4SL10-3,F4,D10,3,25.0 ,125.0 
L,R1H-1,R1,H,1,25.1,125.2
L,R1H-2,R1,H,2,25.2,125.1
L,R1H-3,R1,H,3,25.1,125.1
L,R1P-1,R1,P,1,25.0 ,125.0 
L,R1P-2,R1,P,2,25.1,125.1
L,R1P-3,R1,P,3,25.0 ,125.0 
L,R1SL10-1,R1,D10,1,25.0 ,125.0 
L,R1SL10-2,R1,D10,2,25.0 ,125.0 
L,R1SL10-3,R1,D10,3,25.0 ,125.0 
L,R2H-1,R2,H,1,25.1 ,125.0 
L,R2H-2,R2,H,2,25.0 ,125.0 
L,R2H-3,R2,H,3,25.0 ,125.0 
L,R2P-1,R2,P,1,25.0 ,125.0 
L,R2P-2,R2,P,2,25.0 ,125.0 
L,R2P-3,R2,P,3,25.0 ,125.0 
L,R2SL10-1,R2,D10,1,25.0 ,125.0 
L,R2SL10-2,R2,D10,2,25.1 ,125.1 
L,R2SL10-3,R2,D10,3,25.0 ,125.0 
L,R3H-1,R3,H,1,25.1 ,125.2 
L,R3H-2,R3,H,2,25.0 ,125.0 
L,R3H-3,R3,H,3,25.0 ,125.0 
L,R3P-1,R3,P,1,25.0 ,125.0 
L,R3P-2,R3,P,2,25.0 ,125.0 
L,R3P-3,R3,P,3,25.0 ,125.0 
L,R3SL10-1,R3,D10,1,25.0 ,125.0 
L,R3SL10-2,R3,D10,2,25.0 ,125.0 
L,R3SL10-3,R3,D10,3,25.0 ,125.0 
